gen,sp,group,en,cnt,loc,lat,lng,alt,method,date,rmk
Ducula,cuprea,birds,Malabar Imperial Pigeon,India,"Kakkadampoyil, Malappuram, Kerala",11.3362,76.1102,650,field recording,2017-03-19,
Ducula,cuprea,birds,Malabar Imperial Pigeon,India,"Badgund, Uttara Kannada, Karnataka",15.2687,74.5375,500,field recording,2014-05-07,
Prinia,lepida,birds,Delicate Prinia,India,"Durgapur Barrage Birding Hotspot, Durgapur, West Bengal",23.4744,87.3064,60,field recording,2017-07-16,
Prinia,lepida,birds,Delicate Prinia,India,"Durgapur Barrage Birding Hotspot, Durgapur, West Bengal",23.4744,87.3064,60,field recording,2017-07-16,
Dendrocygna,bicolor,birds,Fulvous Whistling Duck,India,"Guduvancheri, Kanchipuram, Tamil Nadu",12.8375,80.0775,30,field recording,2022-02-06,A small flaock flying around calling <https://ebird.org/checklist/S102109050>
Dendrocygna,bicolor,birds,Fulvous Whistling Duck,India,"Guduvancheri, Kanchipuram, Tamil Nadu",12.8375,80.0775,30,field recording,2022-02-06,A small flaock flying around calling <https://ebird.org/checklist/S102109050>
Dendrocygna,bicolor,birds,Fulvous Whistling Duck,India,"OMR - Medavakkam Toll Gate (near  Chennai), Kanchipuram, Tamil Nadu",12.9011,80.2199,0,field recording,2017-08-27,Call of a single bird flying in to join a small flock in grass
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Ograbraj (near  Hobdipur RV), Andaman and Nicobar Islands",11.6612,92.6566,0,field recording,2022-12-14,
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Near Chouldari, South Andaman County, Andaman and Nicobar Islands",11.63,92.67,,field recording,2017-04-23,
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Near Chouldari, South Andaman County, Andaman and Nicobar Islands",11.63,92.67,,field recording,2017-04-23,
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Goncoi, Aldona,Bardez, Goa",15.5966,73.8729,20,field recording,2014-05-18,
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Ograbraj (near  Hobdipur RV), Andaman and Nicobar Islands",11.6612,92.6566,0,field recording,2022-12-14,
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Ograbraj (near  Hobdipur RV), Andaman and Nicobar Islands",11.6612,92.6566,0,field recording,2022-12-14,
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Keoladeo National Park, Bharatpur, Rajasthan",27.1593,77.5232,,field recording,2019-04-06,Calls of a small group
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Keoladeo National Park, Bharatpur, Rajasthan",27.1593,77.5232,,field recording,2019-04-06,Calls of a small group
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Mallapuzhassery, Pathanamthitta, Kerala",9.3223,76.7047,10,field recording,2017-10-01,"A flock of ducks seen in the lake. They were taking off, circling and landing repeatedly, all the while whistling."
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Shreenagar Rural, Bharatpur, Rajasthan",27.166,77.5245,180,field recording,2016-12-21,"Flock close by track at stork colony, with noisy chicks of latter calling in background."
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Kalady, Ernakulam, Kerala",10.1691,76.4396,10,field recording,2015-08-29,single bird approaching towards the recorder and then flying away and landing; the wingbeat and splashing audible at the end
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Maitollem Lake, South Goa, Goa",15.2961,74.0377,10,field recording,2014-12-14,"Mixture of Song,call & flight calls in a flock of 100+ birds "
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,saldi pond,21.576,71.323,10,field recording,2011-10-04,
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Carambolim Lake, Goa",15.489,73.929,6,field recording,2010-01-09,Calls from a flock on the lake.
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Virar, Thane, Maharashtra",19.4605,72.7932,0,field recording,2021-07-01,
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Kalady, Ernakulam, Kerala",10.1691,76.4396,10,field recording,2015-08-29,several birds taking off
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Khamkhede, Jalgaon, Maharashtra",21.0623,76.0622,220,field recording,2021-12-24,
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Chhatri Lake, Amravati, Maharashtra",20.8935,77.7745,360,field recording,2014-04-04,Flock of 30 birds seen in flight and landed in front of mine at the bank of waterbody.
Dendrocygna,javanica,birds,Lesser Whistling Duck,India,"Carambolim Lake, Goa",15.489,73.929,0,field recording,2014-12-16,"Was the recording modified significantly? No
Habitat: Wetland"
Anser,indicus,birds,Bar-headed Goose,India,"Pong Dam-Nagrota Surian, Kangra, Himachal Pradesh",32.0439,76.0654,420,field recording,2021-09-10,a flock of geese flying over. Looks like just crossed the Himalayas and landed in Pong dam
Anser,indicus,birds,Bar-headed Goose,India,"Kaziranga National Park, Assam",26.6667,93.3501,90,field recording,2015-01-25,A few handling noise and clicks were eliminated in processing.
Anser,indicus,birds,Bar-headed Goose,India,"Northeast of Tal Chappar, Rajasthan",27.8098,74.4602,300,field recording,2014-01-13,
Anser,indicus,birds,Bar-headed Goose,India,"Kaziranga National Park, Assam",26.6667,93.3501,90,field recording,2017-03-09,More than 20 flying over pond in Eastern Range.
Anser,indicus,birds,Bar-headed Goose,India,"Keoladeo National Park, Bharatpur, Rajasthan",27.1593,77.5232,170,field recording,2019-02-19,Calls of a small group in flight.
Anser,indicus,birds,Bar-headed Goose,India,"Menar, Udaipur, Rajasthan",24.5933,74.1126,480,field recording,2018-02-15,A flock of  about 100 birds were seen moving around calling in the pond
Anser,indicus,birds,Bar-headed Goose,India,"Menar, Udaipur, Rajasthan",24.5933,74.1126,480,field recording,2018-02-15,A flock of  about 100 birds were seen moving around calling in the pond
Anser,indicus,birds,Bar-headed Goose,India,"Kaziranga National Park, Sohola Beel, Assam",26.6804,93.5596,90,field recording,2012-11-24,"Large numbers of these geese were seen here. Several birds foraging in the muddy grass then taking flight. img:http://www.flickr.com/photos/madbirder/8271707421/
"
Anser,indicus,birds,Bar-headed Goose,India,"Kaziranga National Park, Sohola Beel, Assam",26.6804,93.5596,90,field recording,2012-11-24,Large numbers of these geese were seen here. img:http://www.flickr.com/photos/madbirder/8271707421/
Anser,indicus,birds,Bar-headed Goose,India,"Keoladeo National Park, Bharatpur, Rajasthan",27.1593,77.5232,170,field recording,2019-02-19,Calls of a small group flying over.
Anser,indicus,birds,Bar-headed Goose,India,"Bhandariya Nana, Amreli, Gujarat",21.6408,71.1557,130,field recording,2013-12-04,rarely  seen our area 
Anser,indicus,birds,Bar-headed Goose,India,"Harike, Punjab",31.1634,75.0027,200,field recording,2012-12-21,
Anser,anser,birds,Greylag Goose,India,Rann Riders,23.3194,71.8461,30,field recording,2012-02-25,7 birds flying over at the resort.
Anser,anser,birds,Greylag Goose,India,"Kaziranga National Park, Assam",26.6667,93.3501,90,field recording,2015-01-24,One man-made noise could not be avoided
Anser,anser,birds,Greylag Goose,India,"Shreenagar Rural, Bharatpur, Rajasthan",27.1545,77.5232,180,field recording,2016-02-12,
Anser,anser,birds,Greylag Goose,India,Sultanpur Bird Sanctuary,28.464,76.893,220,field recording,2013-01-20,"[flying over and identified as Bar-headed Goose by others, but I think this was a mistake - though I did not look up at the birds myself]"
Anser,anser,birds,Greylag Goose,India,"Kaziranga National Park, Sohola Beel, Assam",26.6804,93.5596,70,field recording,2012-11-25,Large groups of these seen out on the beel
Anser,anser,birds,Greylag Goose,India,"Kaziranga National Park, Sohola Beel, Assam",26.6804,93.5596,70,field recording,2012-11-25,Large groups of these seen out on the beel. 
Anser,anser,birds,Greylag Goose,India,"Kaziranga National Park, Sohola Beel, Assam",26.6804,93.5596,70,field recording,2012-11-25,Large groups of these seen out on the beel
Anser,anser,birds,Greylag Goose,India,"Kaziranga National Park, Sohola Beel, Assam",26.6804,93.5596,70,field recording,2012-11-25,Large groups of these seen out on the beel
Anser,anser,birds,Greylag Goose,India,"Kabi Mohanpur, Birbhum, West Bengal",23.6888,87.6669,50,field recording,2016-01-17,
Anser,anser,birds,Greylag Goose,India,little rann of kutch gujarat india,23.131,71.775,70,field recording,2011-12-30,
Anser,anser,birds,Greylag Goose,India,"Keoladeo National Park (near  Shreenagar Rural), Bharatpur, Rajasthan",27.1569,77.5237,180,field recording,2014-01-09,
Anser,anser,birds,Greylag Goose,India,"Keoladeo National Park (near  Shreenagar Rural), Bharatpur, Rajasthan",27.1569,77.5237,180,field recording,2014-01-09,
Anser,albifrons,birds,Greater White-fronted Goose,India,"Makhana, Kutch, Gujarat",23.2594,69.5143,130,field recording,2014-01-19,Two flight calls of either Greater White-fronted or Lesser White-fronted Goose. There were four of the former and two adult of the latter flying together. See Discussion for ID
Sarkidiornis,melanotos,birds,Knob-billed Duck,India,saldi pond  amreli ,21.5859,71.317,110,field recording,2013-10-05,
Tadorna,tadorna,birds,Common Shelduck,India,"Gajaldoba, West Bengal",26.8542,88.5591,150,field recording,2016-03-05,
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Dhado-Carambolim, North Goa, Goa",15.4779,73.9314,0,field recording,2014-12-01,
Tadorna,ferruginea,birds,Ruddy Shelduck,India,saldi pond amreli gujarat india,21.589,71.314,?,field recording,2011-11-07,
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Nawatalao lake, Kutch, Gujarat",23.4618,71.2874,0,field recording,2007-02-28,"courtship display of 2-4 birds, very windy"
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Keoladeo National Park, Bharatpur, Rajasthan",27.1593,77.5232,,field recording,2019-04-06,Calls of a pair taking off.
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Keoladeo National Park, Bharatpur, Rajasthan",27.1593,77.5232,,field recording,2019-04-06,Calls of a pair.
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Pimprisekam, Jalgaon, Maharashtra",21.0576,75.8398,190,field recording,2017-03-04,
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Mangalajodi, Khordha, Odisha",19.9165,85.4272,10,field recording,2016-12-02,
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Bhuj, Kutch, Gujarat",23.2378,69.6671,110,field recording,2016-01-18,img:https://www.flickr.com/photos/madbirder/24590647576/in/photolist-CxNdqu-DsZuNm-D4bVs7-Dviz2x-D4bUUy-DviyXe-DkJjK3-CWNJfX-Dviyqc-v8S8bi
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Carambolim Lake, Goa",15.489,73.929,0,field recording,0213-12-02,The bird was in the water filled in the paddy fields.
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Nameri National Park, Assam",26.9239,92.8812,190,field recording,2012-11-27,Two birds in the river. 
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Kaziranga National Park, Sohola Beel, Assam",26.6804,93.5596,70,field recording,2012-11-24,In with some Bar-headed Geese foraging in muddy grass next to the beel.
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Kavadi Pat, Pune, Maharashtra",18.5054,74.0006,550,field recording,2011-01-19,
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Kavadi Pat, Pune, Maharashtra",18.5054,74.0006,550,field recording,2011-01-19,
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Kavadi Pat, Pune, Maharashtra",18.5054,74.0006,550,field recording,2011-01-19,
Tadorna,ferruginea,birds,Ruddy Shelduck,India,BTPS Tapti River,21.0596,75.8367,190,field recording,2017-03-04,
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Pimprisekam, Jalgaon, Maharashtra",21.0576,75.8398,200,field recording,2017-03-04,
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Pimprisekam, Jalgaon, Maharashtra",21.0576,75.8398,190,field recording,2017-03-04,
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Durgapur Barrage Birding Hotspot, Durgapur, West Bengal",23.4744,87.3064,60,field recording,2015-01-03,
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Mangalajodi, Khordha, Odisha",19.9051,85.4365,0,field recording,2012-01-23,Sunny day. Bird clearly visible and photographed.
Tadorna,ferruginea,birds,Ruddy Shelduck,India,"Mayani Lake, Satara, Maharashtra",,,?,field recording,0000-00-00,Bird comunicate each other during entire winter.
Tadorna,ferruginea,birds,Ruddy Shelduck,India,BTPS_Tapti River,21.0658,75.8402,200,field recording,2017-03-04,
Nettapus,coromandelianus,birds,Cotton Pygmy Goose,India,"Maitollem Lake, South Goa, Goa",15.2961,74.0377,10,field recording,2014-12-14,
Nettapus,coromandelianus,birds,Cotton Pygmy Goose,India,"Ambulor Lake, South Goa, Goa",15.3414,73.9419,10,field recording,2016-02-15,
Spatula,querquedula,birds,Garganey,India,"Yelahanka Kere, Karnataka",13.1109,77.5953,,field recording,2019-04-10,Calls from at least 10 males displaying. Lots of background noise from nearby temples. Archived at the Macaulay Library as ML176200371
Spatula,querquedula,birds,Garganey,India,"Keoladeo National Park, Bharatpur, Rajasthan",27.1593,77.5232,170,field recording,2019-02-19,
Spatula,querquedula,birds,Garganey,India,"Keoladeo National Park, Bharatpur, Rajasthan",27.1593,77.5232,,field recording,2019-04-06,
Spatula,querquedula,birds,Garganey,India,"Salcete (near  Curtorim), South Goa, Goa",15.2708,74.0193,10,field recording,2017-02-09,
Spatula,querquedula,birds,Garganey,India,saldi pond amreli gujarat india,21.578,71.314,200,field recording,2011-11-07,
Spatula,clypeata,birds,Northern Shoveler,India,"Batim lake, North Goa, Goa",15.4491,73.8935,10,field recording,2016-11-26,
Spatula,clypeata,birds,Northern Shoveler,India,saldi pond,21.576,71.321,?,field recording,2011-11-12,
Spatula,clypeata,birds,Northern Shoveler,India,"Keoladeo National Park, Bharatpur, Rajasthan",27.1593,77.5232,170,field recording,2019-02-19,
Mareca,strepera,birds,Gadwall,India,"Kaziranga National Park, Sohola Beel, Assam",26.6804,93.5596,70,field recording,2012-11-25,Several birds seen here from the watchtower overlooking the beel. 
Mareca,strepera,birds,Gadwall,India,"Kaziranga National Park, Sohola Beel, Assam",26.6804,93.5596,70,field recording,2012-11-25,Several birds seen here from the watchtower overlooking the beel.
Mareca,strepera,birds,Gadwall,India,saldi pond,21.575,71.322,0,field recording,2011-11-08,
Mareca,penelope,birds,Eurasian Wigeon,India,"Maguri bill,Tinsukia, Assam",27.5755,95.3955,120,field recording,2020-01-13,
Mareca,penelope,birds,Eurasian Wigeon,India,"Kaziranga National Park, Sohola Beel, Assam",26.6804,93.5596,70,field recording,2012-11-25,First thought to be Gadwall as there were so many of these seen from the watchtower overlooking the bheel that I missed the Wigeon. Corrected by Nathan Pieplow.
Mareca,penelope,birds,Eurasian Wigeon,India,saldi pond amreli gujarat india,21.578,71.314,200,field recording,2011-11-07,
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Chennai, Kanchipuram, Tamil Nadu",12.8705,80.1823,10,field recording,2020-08-03,Flight call of a few birds circling the water body.  The details can be seen here https://ebird.org/checklist/S72068727
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Chennai, Kanchipuram, Tamil Nadu",12.8705,80.1823,10,field recording,2020-08-03,Flight call of a few birds circling the water body.  The details can be seen here https://ebird.org/checklist/S72068727
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Bhose, Pune, Maharashtra",18.7221,73.9031,600,field recording,2011-08-03,
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Jatoli Ghana, Bharatpur, Rajasthan",27.1855,77.5066,180,field recording,1986-02-12,A few birds swimming in large pond.
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Chennai, Kanchipuram, Tamil Nadu",12.8705,80.1823,10,field recording,2020-08-03,Flight call of a few birds circling the water body.  The details can be seen here https://ebird.org/checklist/S72068727
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Wildlife Institute of India Campus--Nature Trail, Uttarakhand",30.2864,77.9744,,field recording,2019-04-12,Archived at the Macaulay Library as ML174930111
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Wildlife Institute of India Campus--Nature Trail, Uttarakhand",30.2864,77.9744,,field recording,2019-04-12,Archived at the Macaulay Library as ML174930121
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Wildlife Institute of India Campus--Nature Trail, Uttarakhand",30.2864,77.9744,,field recording,2019-04-12,Archived at the Macaulay Library as ML174930131
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Wildlife Institute of India Campus--Nature Trail, Uttarakhand",30.2864,77.9744,,field recording,2019-04-12,Archived at the Macaulay Library as ML174930151
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Wildlife Institute of India Campus--Nature Trail, Uttarakhand",30.2864,77.9744,,field recording,2019-04-12,Archived at the Macaulay Library as ML174930161
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Wildlife Institute of India Campus--Nature Trail, Uttarakhand",30.2864,77.9744,,field recording,2019-04-12,Archived at the Macaulay Library as ML174930191
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"WII Nature trail pond, Dehradun, Uttarakhand",30.286,77.9741,600,field recording,2019-04-13,
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Keoladeo National Park, Bharatpur, Rajasthan",27.1593,77.5232,170,field recording,2019-02-19,Calls of a couple in flight.
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Kanchipuram, Tamil Nadu",12.836,80.0342,40,field recording,2017-09-17,Two birds were seen in the pond
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Pune, Pune, Maharashtra",18.5344,73.7853,600,field recording,2014-09-16,
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Vena Reservoir, Rohana, Nagpur, Maharashtra",21.1429,78.8647,340,field recording,2014-01-25,Small group in flight
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Nannaj, Maharashtra",18.5937,75.3052,550,field recording,2012-09-16,
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Chennai, Kanchipuram, Tamil Nadu",12.869,80.1851,0,field recording,2019-10-20,"A small flock circling above the water body, one of them calling < https://ebird.org/india/checklist/S60773585>"
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Chennai, Kanchipuram, Tamil Nadu",12.869,80.1851,0,field recording,2019-10-20,"A small flock circling above the water body, one of them calling < https://ebird.org/india/checklist/S60773585>"
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Keoladeo National Park, Bharatpur, Rajasthan",27.1593,77.5232,,field recording,2019-04-06,Calls of a pair when taking off
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"WII Nature trail pond, Dehradun, Uttarakhand",30.286,77.9741,600,field recording,2019-04-13,
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,Krishna River,,,546,field recording,2012-07-22,Resident duck calls when disturbed and took on wings 
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,saldi pond,21.575,71.322,?,field recording,2011-12-04,
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Keoladeo National Park, Bharatpur, Rajasthan",27.1593,77.5232,,field recording,2019-04-06,
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"IIT Madras, Chennai, Tamil Nadu",12.9912,80.2363,10,field recording,2019-01-08,
Anas,poecilorhyncha,birds,Indian Spot-billed Duck,India,"Pimprisekam, Jalgaon, Maharashtra",21.0576,75.8398,190,field recording,2017-03-04,
Anas,platyrhynchos,birds,Mallard,India,"Amreli, Amreli, Gujarat",21.599,71.2055,110,field recording,2013-02-11,more then 300 other duck 1 and only mallard 
Anas,acuta,birds,Northern Pintail,India,saldi pond,21.575,71.323,?,field recording,2011-11-10,
Anas,acuta,birds,Northern Pintail,India,"Ambulor Lake, South Goa, Goa",15.3414,73.9419,10,field recording,2016-02-15,
Anas,crecca,birds,Eurasian Teal,India,saldi poad amreli gujarat india,21.577,71.3148,?,field recording,2011-11-05,
Anas,albogularis,birds,Andaman Teal,India,"Road to Chidya Tapu, South Andaman County, Andaman and Nicobar Islands",11.5156,92.7116,,field recording,2017-04-25,
Anas,albogularis,birds,Andaman Teal,India,"Ograbraj (near  Hobdipur RV), Andaman and Nicobar Islands",11.6612,92.6566,0,field recording,2023-01-23,
Anas,albogularis,birds,Andaman Teal,India,"Near Chouldari, South Andaman County, Andaman and Nicobar Islands",11.63,92.67,,field recording,2017-04-23,
Anas,albogularis,birds,Andaman Teal,India,"Near Chouldari, South Andaman County, Andaman and Nicobar Islands",11.63,92.67,,field recording,2017-04-23,
Anas,albogularis,birds,Andaman Teal,India,"Near Chouldari, South Andaman County, Andaman and Nicobar Islands",11.63,92.67,,field recording,2017-04-23,
Anas,albogularis,birds,Andaman Teal,India,"Road to Chidya Tapu, South Andaman County, Andaman and Nicobar Islands",11.5156,92.7116,,field recording,2017-04-25,Call of three birds in flight.
Aythya,ferina,birds,Common Pochard,India,saldi pond ,21.5778,71.3148,?,field recording,2012-01-17,
Mergus,merganser,birds,Common Merganser,India,"Lake Tso Moriri, Ladakh, India",32.9112,78.3159,4500,field recording,2013-08-19,
Megapodius,nicobariensis,birds,Nicobar Megapode,India,,,,30,field recording,2015-11-26,"It was one of toughest journey of mine for search of elusive Nicobar Megapode.. from Jaipur to Delhi,  Delhi to Port Blair via Calcutta and after that 2 days in ship to Great Nicobar Islands..  but the real ordeal was yet to start .. some taxi drop out outside dense forest of Galathea Bay , walking around mountains in rain, slippery muddy path, galloping big rocks and miles of walking to a wild place, no electricity, no moblie, no sign of life and only sea water along with slippery rocks with loads of our luggage on our shoulders carrying food for two days, some cloths, camera equipment..  thanks to three local forest porters without them it was impossible to find a way out and manage shelter at night. some wooden sleepers to sleep and only fish and rice to eat. full of mosquitoes ,  Sea shore full of crocodiles and passage to out temp shelter was through waist deep waters, the story is quite long and needs time to explain .. the actual place of likely presence of Nicobar Megapode was further away and through dense forest ..  the place we were staying was some local point of stay..and bird destination was further away..the bird.. elusive Megapod ..  very very rare and shy.. found here only at Galathia in entire world. .comes quite in the middle of dense thick forest at his mount. .a place where he had laid last year.
 I was very tired and no strength left to walk further but my friend Mr Sangha was quite ready and I had to join.  One old forester John was acquitted with the place and only he could have led the location in that dense forest. he led the way and to my surprise there was not any track etc.. only thick forest with all wet muddy path and all kind of hurdle in walking. .John was ahead cutting all wood and branches coming in the way and making some temporary passage for us to follow. . Most of the time it was raining. .we had to walk for an hour to reach the expected destination.. it was quite dehydrating and we forgot to bring any water.. the humidity above 100  and all my towels and clothing were wet due to sweating. . we couldn't manage to click pictures but he was whole night around us.. manage some recording for the first time ..
"
Megapodius,nicobariensis,birds,Nicobar Megapode,India,,,,30,field recording,2015-12-19,"Bird was seen briefly at nest (observers were in a hide), after which there was a heavy downpour for ~ 30min. As soon as the rain stopped, the bird started calling loudly near the nest, and was seen and photographed subsequently while working on the nest. "
Arborophila,torqueola,birds,Hill Partridge,India,"Rudraprayag (near  Malkhi), Garhwal Division, Uttarakhand",30.3865,79.1013,2400,field recording,2023-04-14,
Arborophila,torqueola,birds,Hill Partridge,India,"Lama Camp, near Eaglenest WLS, Arunachal Pradesh",27.1567,92.4606,2350,field recording,2017-03-02,
Arborophila,torqueola,birds,Hill Partridge,India,"Sau Kharak, Uttarakhand",30.4789,79.2111,,field recording,2019-07-10,Archived at the Macaulay Library as ML173737511
Arborophila,torqueola,birds,Hill Partridge,India,"Chopta, Kedarnath NP, Uttarakhand",30.48,79.2,,field recording,2019-04-18,This song typically given by a male bird perched on top of a rock inside the forest.
Arborophila,torqueola,birds,Hill Partridge,India,"Chopta, Kedarnath NP, Uttarakhand",30.48,79.2,,field recording,2019-04-18,This song typically given by a male bird perched on top of a rock inside the forest.
Arborophila,torqueola,birds,Hill Partridge,India,"Mayodia Pass, Arunachal Pradesh",28.2334,95.9167,2400,field recording,2015-11-23,
Arborophila,torqueola,birds,Hill Partridge,India,"Shimla, Himachal Pradesh",31.1053,77.2399,2500,field recording,2015-05-01,
Arborophila,torqueola,birds,Hill Partridge,India,Below Bompu Camp Eagles Nest at 1200 m,27.1001,92.4001,1400,field recording,2013-04-05,
Arborophila,torqueola,birds,Hill Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2800,field recording,2011-04-22,natural calls
Arborophila,torqueola,birds,Hill Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2800,field recording,2011-04-22,
